variable,units,value,uncertainty
filterID_B_L1,text,3011,
taremass_B_L1,mg,1,
grossmass_B_L1,mg,1.1,
start_time_L1,yyyymmdd hh:mm:ss,13:16:25,
end_time_L1,yyyymmdd hh:mm:ss,14:29:00,
filterID_B_hp,text,1988,
taremass_B_hp,mg,1,
grossmass_B_hp,mg,1.1,
start_time_hp,yyyymmdd hh:mm:ss,14:29:00,
end_time_hp,yyyymmdd hh:mm:ss,16:16:00,
filterID_B_mp,text,,
taremass_B_mp,mg,,
grossmass_B_mp,mg,,
start_time_mp,yyyymmdd hh:mm:ss,,
end_time_mp,yyyymmdd hh:mm:ss,,
filterID_B_lp,text,,
taremass_B_lp,mg,,
grossmass_B_lp,mg,,
start_time_lp,yyyymmdd hh:mm:ss,,
end_time_lp,yyyymmdd hh:mm:ss,,
