time,units,value,
seconds,sec,0,
ID,sec,0,
CO,sec,0,
CObkg,sec,0,
CO2,sec,0,
CO2bkg,sec,0,
COhi,sec,0,
CO2hi,sec,0,
SO2,sec,0,
NO,sec,0,
NO2,sec,0,
H2S,sec,0,
VOC,sec,0,
O2,sec,0,
HC,sec,0,
PM,sec,0,
RH,sec,0,
F1Flow,sec,0,
F2Flow,sec,0,
SampFlow,sec,0,
USampFlow,sec,0,
DilFlow,sec,0,
Pitot,sec,0,
Pamb,sec,0,
TCnoz,sec,0,
TC2,sec,0,
COtemp,sec,0,
HCtemp,sec,0,
HCinTemp,sec,0,
HCoutTemp,sec,0,
BattV,sec,0,
StakVel,sec,0,
NozVel,sec,0,
PMmass,sec,0,
DilRat,sec,0,
TAPstat,sec,0,
TAPspot,sec,0,
TAPflow,sec,0,
TAPtemp,sec,0,
drk,sec,0,
red,sec,0,
grn,sec,0,
blu,sec,0,
drkref,sec,0,
redref,sec,0,
grnref,sec,0,
bluref,sec,0,
RedRat,sec,0,
GrnRat,sec,0,
BluRat,sec,0,
RedAbs,sec,0,
GrnAbs,sec,0,
BluAbs,sec,0,
