variable_name,units,value,unc
CO,ppm,289.2692333,0
CO2,ppm,4716.566818,0
PM,%,38.77886643,0
PM,%,38.77886643,0
COconc,gm^-3,0.337018953,0
CO2conc,gm^-3,8.634085238,0
PMconc,mgm^-3,14.27177142,0
Cconc,gm^-3,2.500682766,0
MCE,mol/mol,0.942213602,0
CER_CO,g/g,0.134770775,0
CER_CO2,g/g,3.452691143,0
CER_PM,mg/g,5.707149909,0
EFmass_CO,g/kg,55.25601756,4.357183119
EFmass_CO2,g/kg,1415.603369,111.6266314
EFmass_PM,mg/kg,2339.931463,184.5140189
EFmass_dry_CO,g/kg,67.38538726,3.369269363
EFmass_dry_CO2,g/kg,1726.345572,86.31727859
EFmass_dry_PM,mg/kg,2853.574954,142.6787477
EFenergy_CO,g/MJ,3.580844894,0.365485929
EFenergy_CO2,g/MJ,91.73763002,9.363380415
EFenergy_PM,mg/MJ,151.6383554,15.47726497
ER_CO,g/min,4.294507006,0.529295153
ER_CO2,g/min,110.0209326,13.56000731
ER_PM,mg/min,181.859868,22.41410866
ER_PM_heat,g/hr,10.91159208,1.34484652
