ISO Performance Metrics (Weighted Mean),units,alcohol_test1,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
thermal_efficiency_w_char,%,86.387,86.387,1,nan,nan,nan,nan,nan,nan-nan
thermal_efficiency_wo_char,%,86.387,86.387,1,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
avg_cooking_power,watts,0.758,0.758,1,nan,nan,nan,nan,nan,nan-nan
burning_rate,g/min,2.672,2.672,1,nan,nan,nan,nan,nan,nan-nan
CO_useful_eng_deliver,g/MJ,-37,-37.0,1,nan,nan,nan,nan,nan,nan-nan
CO2_useful_eng_deliver,g/MJ,-391,-391.0,1,nan,nan,nan,nan,nan,nan-nan
CO_mass_time,g/min,-1,-1.0,1,nan,nan,nan,nan,nan,nan-nan
CO2_mass_time,g/min,-13,-13.0,1,nan,nan,nan,nan,nan,nan-nan
PM_mass_time,mg/min,0,0.0,1,nan,nan,nan,nan,nan,nan-nan
Basic Operation,units,alcohol_test1,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
time_to_boil_hp,min,,nan,0,nan,nan,nan,nan,nan,nan-nan
phase_time_hp,min,31.816666666666666,31.817,1,nan,nan,nan,nan,nan,nan-nan
eff_w_char_hp,%,83.63830162350332,83.638,1,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_hp,%,83.63830162350332,83.638,1,nan,nan,nan,nan,nan,nan-nan
fuel_mass_hp,kg,0.14100000000000001,0.141,1,nan,nan,nan,nan,nan,nan-nan
burn_rate_hp,g/min,4.431639601885805,4.432,1,nan,nan,nan,nan,nan,nan-nan
firepower_hp,kW,1.4662818229439496,1.466,1,nan,nan,nan,nan,nan,nan-nan
cooking_power_hp,kW,1.2263732137244638,1.226,1,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_hp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_hp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
time_to_boil_mp,min,,nan,0,nan,nan,nan,nan,nan,nan-nan
phase_time_mp,min,35.0,35.0,1,nan,nan,nan,nan,nan,nan-nan
eff_w_char_mp,%,89.38708170017891,89.387,1,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_mp,%,89.38708170017891,89.387,1,nan,nan,nan,nan,nan,nan-nan
fuel_mass_mp,kg,0.0794999999999999,0.079,1,nan,nan,nan,nan,nan,nan-nan
burn_rate_mp,g/min,2.2714285714285687,2.271,1,nan,nan,nan,nan,nan,nan-nan
firepower_mp,kW,0.7515399999999991,0.752,1,nan,nan,nan,nan,nan,nan-nan
cooking_power_mp,kW,0.6717796738095237,0.672,1,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_mp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_mp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
time_to_boil_lp,min,,nan,0,nan,nan,nan,nan,nan,nan-nan
phase_time_lp,min,35.0,35.0,1,nan,nan,nan,nan,nan,nan-nan
eff_w_char_lp,%,86.13626789327921,86.136,1,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_lp,%,86.13626789327921,86.136,1,nan,nan,nan,nan,nan,nan-nan
fuel_mass_lp,kg,0.04600000000000026,0.046,1,nan,nan,nan,nan,nan,nan-nan
burn_rate_lp,g/min,1.3142857142857218,1.314,1,nan,nan,nan,nan,nan,nan-nan
firepower_lp,kW,0.4348533333333358,0.435,1,nan,nan,nan,nan,nan,nan-nan
cooking_power_lp,kW,0.37456643214285656,0.375,1,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_lp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_lp,%,,nan,0,nan,nan,nan,nan,nan,nan-nan
Total Emissions,units,alcohol_test1,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
MCE_hp,mol/mol,0.8305260329217381,0.831,1,nan,nan,nan,nan,nan,nan-nan
CO_total_mass_hp,g,-38.737441001654894,-38.737,1,nan,nan,nan,nan,nan,nan-nan
CO2_total_mass_hp,g,-298.35261230627077,-298.353,1,nan,nan,nan,nan,nan,nan-nan
PM_total_mass_hp,g,6.259912511128544e-06,0.0,1,nan,nan,nan,nan,nan,nan-nan
MCE_mp,mol/mol,0.8643262848772257,0.864,1,nan,nan,nan,nan,nan,nan-nan
CO_total_mass_mp,g,-47.718926189781016,-47.719,1,nan,nan,nan,nan,nan,nan-nan
CO2_total_mass_mp,g,-477.6602709906851,-477.66,1,nan,nan,nan,nan,nan,nan-nan
PM_total_mass_mp,g,6.182575706875847e-06,0.0,1,nan,nan,nan,nan,nan,nan-nan
MCE_lp,mol/mol,0.878907689309032,0.879,1,nan,nan,nan,nan,nan,nan-nan
CO_total_mass_lp,g,-48.75893947799467,-48.759,1,nan,nan,nan,nan,nan,nan-nan
CO2_total_mass_lp,g,-556.1121001231558,-556.112,1,nan,nan,nan,nan,nan,nan-nan
PM_total_mass_lp,g,5.1826628487956336e-06,0.0,1,nan,nan,nan,nan,nan,nan-nan
